Domain,Count
cdn.kernel.org,37
git.kernel.org,22
www.kernel.org,17
docs.python.org,12
github.com,8
devguide.python.org,3
peps.python.org,2
www.python.org,2
wiki.python.org,2
unpkg.com,2
www.linuxfoundation.org,2
www.fastly.com,2
osmfoundation.org,2
iana.org,1
packaging.python.org,1
typing.python.org,1
developer.mozilla.org,1
pypi.org,1
www.ietf.org,1
git-scm.com,1
rsync.samba.org,1
docs.kernel.org,1
lore.kernel.org,1
patchwork.kernel.org,1
www.wiki.kernel.org,1
bugzilla.kernel.org,1
mirrors.kernel.org,1
www.linux.com,1
planet.kernel.org,1
www.akamai.com,1
www.constellix.com,1
servers.com,1
www.google.com,1
www.redhat.com,1
www.openstreetmap.org,1
supporting.openstreetmap.org,1
hardware.openstreetmap.org,1
2026.stateofthemap.africa,1
