Listing files modified within the last hour with details:
-rw-r--r-- 1 ai_admin ai_admin 2.8K May 31 15:18 ./cleaned_file_extension_report.txt
-rw-r--r-- 1 ai_admin ai_admin   39 May 31 15:19 ./directory_size_report.txt
-rw-r--r-- 1 ai_admin ai_admin 4.5K May 31 15:22 ./duplicate_sizes.txt
-rw-r--r-- 1 ai_admin ai_admin  528 May 31 14:33 ./example_homepage.html
-rw-r--r-- 1 ai_admin ai_admin 6.7K May 31 14:58 ./extension_counts.txt
-rw-r--r-- 1 ai_admin ai_admin  34K May 31 14:58 ./extensions.txt
-rw-r--r-- 1 ai_admin ai_admin 6.7K May 31 15:18 ./file_extension_report.txt
-rw-r--r-- 1 ai_admin ai_admin  39K May 31 15:19 ./file_sizes_bytes.txt
-rw-r--r-- 1 ai_admin ai_admin 378K May 31 15:22 ./file_sizes.txt
-rw-r--r-- 1 ai_admin ai_admin  30K May 31 15:00 ./files_with_multiple_dots.txt
-rw-r--r-- 1 ai_admin ai_admin  17K May 31 14:38 ./kernel_homepage.html
-rw-r--r-- 1 ai_admin ai_admin 8.9K May 31 15:18 ./largest_files_report.txt
-rw-r--r-- 1 ai_admin ai_admin  13K May 31 15:22 ./names_0.txt
-rw-r--r-- 1 ai_admin ai_admin   34 May 31 15:22 ./names_1000.txt
-rw-r--r-- 1 ai_admin ai_admin   31 May 31 15:22 ./names_1003.txt
-rw-r--r-- 1 ai_admin ai_admin   27 May 31 15:22 ./names_1004.txt
-rw-r--r-- 1 ai_admin ai_admin   36 May 31 15:22 ./names_100731.txt
-rw-r--r-- 1 ai_admin ai_admin  207 May 31 15:22 ./names_100.txt
-rw-r--r-- 1 ai_admin ai_admin   33 May 31 15:22 ./names_1013.txt
-rw-r--r-- 1 ai_admin ai_admin   22 May 31 15:22 ./names_10144.txt
-rw-r--r-- 1 ai_admin ai_admin   19 May 31 15:22 ./names_1019.txt
-rw-r--r-- 1 ai_admin ai_admin  104 May 31 15:22 ./names_101.txt
-rw-r--r-- 1 ai_admin ai_admin   37 May 31 15:22 ./names_1020.txt
-rw-r--r-- 1 ai_admin ai_admin   45 May 31 15:22 ./names_1021.txt
-rw-r--r-- 1 ai_admin ai_admin   28 May 31 15:22 ./names_1029.txt
-rw-r--r-- 1 ai_admin ai_admin  111 May 31 15:22 ./names_102.txt
-rw-r--r-- 1 ai_admin ai_admin   25 May 31 15:22 ./names_1031.txt
-rw-r--r-- 1 ai_admin ai_admin   43 May 31 15:22 ./names_1032.txt
-rw-r--r-- 1 ai_admin ai_admin   33 May 31 15:22 ./names_10361.txt
-rw-r--r-- 1 ai_admin ai_admin   60 May 31 15:22 ./names_1036.txt
-rw-r--r-- 1 ai_admin ai_admin   28 May 31 15:22 ./names_1038.txt
-rw-r--r-- 1 ai_admin ai_admin   48 May 31 15:22 ./names_103.txt
-rw-r--r-- 1 ai_admin ai_admin   23 May 31 15:22 ./names_1043.txt
-rw-r--r-- 1 ai_admin ai_admin   64 May 31 15:22 ./names_1044.txt
-rw-r--r-- 1 ai_admin ai_admin   79 May 31 15:22 ./names_1046.txt
-rw-r--r-- 1 ai_admin ai_admin   22 May 31 15:22 ./names_1048.txt
-rw-r--r-- 1 ai_admin ai_admin   23 May 31 15:22 ./names_1049.txt
-rw-r--r-- 1 ai_admin ai_admin   96 May 31 15:22 ./names_104.txt
-rw-r--r-- 1 ai_admin ai_admin   49 May 31 15:22 ./names_1056.txt
-rw-r--r-- 1 ai_admin ai_admin   23 May 31 15:22 ./names_1057.txt
-rw-r--r-- 1 ai_admin ai_admin  158 May 31 15:22 ./names_105.txt
-rw-r--r-- 1 ai_admin ai_admin   29 May 31 15:22 ./names_10617.txt
-rw-r--r-- 1 ai_admin ai_admin   30 May 31 15:22 ./names_1061.txt
-rw-r--r-- 1 ai_admin ai_admin   43 May 31 15:22 ./names_10652.txt
-rw-r--r-- 1 ai_admin ai_admin   27 May 31 15:22 ./names_1066.txt
-rw-r--r-- 1 ai_admin ai_admin   37 May 31 15:22 ./names_1067.txt
-rw-r--r-- 1 ai_admin ai_admin   24 May 31 15:22 ./names_1068.txt
-rw-r--r-- 1 ai_admin ai_admin   90 May 31 15:22 ./names_106.txt
-rw-r--r-- 1 ai_admin ai_admin   34 May 31 15:22 ./names_1073.txt
-rw-r--r-- 1 ai_admin ai_admin   26 May 31 15:22 ./names_1074.txt
-rw-r--r-- 1 ai_admin ai_admin   27 May 31 15:22 ./names_1075.txt
-rw-r--r-- 1 ai_admin ai_admin   37 May 31 15:22 ./names_1078.txt
-rw-r--r-- 1 ai_admin ai_admin   83 May 31 15:22 ./names_107.txt
-rw-r--r-- 1 ai_admin ai_admin   39 May 31 15:22 ./names_1080.txt
-rw-r--r-- 1 ai_admin ai_admin   32 May 31 15:22 ./names_10820.txt
-rw-r--r-- 1 ai_admin ai_admin   80 May 31 15:22 ./names_108.txt
-rw-r--r-- 1 ai_admin ai_admin   70 May 31 15:22 ./names_1090.txt
-rw-r--r-- 1 ai_admin ai_admin   55 May 31 15:22 ./names_1094.txt
-rw-r--r-- 1 ai_admin ai_admin   48 May 31 15:22 ./names_1098.txt
-rw-r--r-- 1 ai_admin ai_admin   30 May 31 15:22 ./names_10993.txt
-rw-r--r-- 1 ai_admin ai_admin  281 May 31 15:22 ./names_109.txt
-rw-r--r-- 1 ai_admin ai_admin   68 May 31 15:22 ./names_10.txt
-rw-r--r-- 1 ai_admin ai_admin   29 May 31 15:22 ./names_1101.txt
-rw-r--r-- 1 ai_admin ai_admin   42 May 31 15:22 ./names_1105.txt
-rw-r--r-- 1 ai_admin ai_admin   43 May 31 15:22 ./names_1108.txt
