File,Size
largest_files.txt,8234
py_files.txt,7670
python_files_sizes.json,1
urls.txt,304028
recent_files.txt,567
files_with_multiple_dots.txt,0
task_descriptions_all.txt,32299
md5_hashes.txt,2259
jq,0
files.txt,77257
text_files.txt,317
avg_size.txt,12
email_files.txt,0
sizes.txt,28
larger_files.txt,0
result.csv,17057
generate_code_model_run.py,7419
sitemap.xml,1877
txt_files.txt,2029
system_prompt_body.txt,1919
file_sizes.json,0
word_counts.txt,0
directory_tree.txt,23862
hashes.txt,5923
output.txt,577
file_extension_report.txt,0
