230G	.
117G	./words.txt
981M	./cpython
783M	./tasks
116K	./python_files_line_counts_sorted.csv
116K	./python_files_line_counts.csv
104K	./python_files.txt
104K	./py_files.txt
56K	./python_files_sizes.json
36K	./uppercase_files.txt
36K	./directory_tree.txt
32K	./task_descriptions_all.txt
20K	./file_sizes.txt
16K	./non_ascii_files.txt
12K	./largest_files.csv
8.0K	./words_part_zzzzafzdqt
8.0K	./words_part_zzzzafzdqs
8.0K	./words_part_zzzzafzdqr
8.0K	./words_part_zzzzafzdqq
8.0K	./words_part_zzzzafzdqp
8.0K	./words_part_zzzzafzdqo
8.0K	./words_part_zzzzafzdqn
8.0K	./words_part_zzzzafzdqm
8.0K	./words_part_zzzzafzdql
8.0K	./words_part_zzzzafzdqk
8.0K	./words_part_zzzzafzdqj
8.0K	./words_part_zzzzafzdqi
8.0K	./words_part_zzzzafzdqh
8.0K	./words_part_zzzzafzdqg
8.0K	./words_part_zzzzafzdqf
8.0K	./words_part_zzzzafzdqe
8.0K	./words_part_zzzzafzdqd
8.0K	./words_part_zzzzafzdqc
8.0K	./words_part_zzzzafzdqb
8.0K	./words_part_zzzzafzdqa
8.0K	./words_part_zzzzafzdpz
8.0K	./words_part_zzzzafzdpy
8.0K	./words_part_zzzzafzdpx
8.0K	./words_part_zzzzafzdpw
8.0K	./words_part_zzzzafzdpv
8.0K	./words_part_zzzzafzdpu
8.0K	./words_part_zzzzafzdpt
8.0K	./words_part_zzzzafzdps
8.0K	./words_part_zzzzafzdpr
8.0K	./words_part_zzzzafzdpq
8.0K	./words_part_zzzzafzdpp
8.0K	./words_part_zzzzafzdpo
8.0K	./words_part_zzzzafzdpn
8.0K	./words_part_zzzzafzdpm
8.0K	./words_part_zzzzafzdpl
8.0K	./words_part_zzzzafzdpk
8.0K	./words_part_zzzzafzdpj
8.0K	./words_part_zzzzafzdpi
8.0K	./words_part_zzzzafzdph
8.0K	./words_part_zzzzafzdpg
8.0K	./words_part_zzzzafzdpf
8.0K	./words_part_zzzzafzdpe
8.0K	./words_part_zzzzafzdpd
8.0K	./words_part_zzzzafzdpc
8.0K	./words_part_zzzzafzdpb
8.0K	./words_part_zzzzafzdpa
8.0K	./words_part_zzzzafzdoz
8.0K	./words_part_zzzzafzdoy
8.0K	./words_part_zzzzafzdox
8.0K	./words_part_zzzzafzdow
8.0K	./words_part_zzzzafzdov
8.0K	./words_part_zzzzafzdou
8.0K	./words_part_zzzzafzdos
8.0K	./words_part_zzzzafzdor
8.0K	./words_part_zzzzafzdoq
8.0K	./words_part_zzzzafzdop
8.0K	./words_part_zzzzafzdoo
8.0K	./words_part_zzzzafzdon
8.0K	./words_part_zzzzafzdom
8.0K	./words_part_zzzzafzdol
8.0K	./words_part_zzzzafzdok
8.0K	./words_part_zzzzafzdoj
8.0K	./words_part_zzzzafzdoi
8.0K	./words_part_zzzzafzdoh
8.0K	./words_part_zzzzafzdog
8.0K	./words_part_zzzzafzdof
8.0K	./words_part_zzzzafzdoe
8.0K	./words_part_zzzzafzdod
8.0K	./words_part_zzzzafzdoc
8.0K	./words_part_zzzzafzdob
8.0K	./words_part_zzzzafzdoa
8.0K	./words_part_zzzzafzdnz
8.0K	./words_part_zzzzafzdny
8.0K	./words_part_zzzzafzdnx
8.0K	./words_part_zzzzafzdnw
8.0K	./words_part_zzzzafzdnv
8.0K	./words_part_zzzzafzdnu
8.0K	./words_part_zzzzafzdnt
8.0K	./words_part_zzzzafzdns
8.0K	./words_part_zzzzafzdnr
8.0K	./words_part_zzzzafzdnq
8.0K	./words_part_zzzzafzdnp
8.0K	./words_part_zzzzafzdno
8.0K	./words_part_zzzzafzdnm
8.0K	./words_part_zzzzafzdnl
